''	1	1.000
'--a	1	1.000
'--and	3	0.333
'--and,	1	1.000
'--becaus	1	1.000
'--downfall.	1	1.000
'--i	1	1.000
'--regularli	1	1.000
'--someth	1	1.000
'--strang	1	1.000
'--the	1	1.000
'--they'r	2	0.500
'--thi	1	1.000
'--well,	1	1.000
'-at-ya	1	1.000
'-glove	1	1.000
'-lantern	1	1.000
'-pendou	1	1.000
'-right	2	0.500
'-shanter	1	1.000
'-the-wisp	1	1.000
'abbella."	1	1.000
'aborvil	1	1.000
'accademia	1	1.000
'accuse.	1	1.000
'adamo	1	1.000
'adamo'	4	0.250
'adamo,	1	1.000
'affair	11	0.091
'ahidi	1	1.000
'alema	10	0.100
'alema'	2	0.500
'alema,	2	0.500
'alembert	2	0.500
'alen	2	0.500
'alene,	1	1.000
'alessandro	1	1.000
'all	113	0.009
'all,'	1	1.000
'alp	3	0.333
'am	18	0.056
'am"	2	0.500
'am,	4	0.250
'am.	1	1.000
'am?"	1	1.000
'amato	26	0.038
'amato"	1	1.000
'amato'	4	0.250
'amato).	1	1.000
'amato,	10	0.100
'amato.	8	0.125
'amato."	2	0.500
'amelio	1	1.000
'amico	3	0.333
'amico'	1	1.000
'amico,	2	0.500
'amour,	1	1.000
'anan	1	1.000
'and	2	0.500
'angelo,	1	1.000
'antica--in	1	1.000
'antona,	1	1.000
'arab	2	0.500
'arbi	1	1.000
'arci	4	0.250
'arcy,	1	1.000
'aretz	101	0.010
'aretz,	5	0.200
'argent	1	1.000
'aria	1	1.000
'ariv	1	1.000
'aron	1	1.000
'aron,	1	1.000
'art	2	0.500
'artagnan,	1	1.000
'artagnan,"	1	1.000
'artagnan.	1	1.000
'arte,	1	1.000
'at,	1	1.000
'ath	2	0.500
'aubisque,	1	1.000
'automn	1	1.000
'avignon	1	1.000
'avignon,	1	1.000
'avvocato	1	1.000
'azur,	1	1.000
'back	2	0.500
'backs'	1	1.000
'beirn	11	0.091
'beirne'	1	1.000
'beirne).	1	1.000
'beirne,	3	0.333
'beirne.	1	1.000
'brian	2	0.500
'brian'	1	1.000
'brian,	1	1.000
'briant	5	0.200
'briant,	5	0.200
'brien	23	0.043
'brien'	2	0.500
'brien),	1	1.000
'brien,	9	0.111
'brien.	2	0.500
'carlo'	1	1.000
'cha	1	1.000
'clock,	5	0.200
'clock,"	1	1.000
'clock-to-11	1	1.000
'clock.	1	1.000
'clock."	1	1.000
'clocki	1	1.000
'collater	1	1.000
'connel	2	0.500
'conner	1	1.000
'connor	35	0.029
'connor'	4	0.250
'connor,	6	0.167
'connor--ha	1	1.000
'connor.	1	1.000
'connor."	1	1.000
'connor;	1	1.000
'd've	3	0.333
'd,such	1	1.000
'd.	1	1.000
'd."	1	1.000
'd.)	1	1.000
'd]	1	1.000
'da	1	1.000
'dai	1	1.000
'dea	2	0.500
'dea,	1	1.000
'dell	1	1.000
'donnel	30	0.033
'donnell'	3	0.333
'donnell)	1	1.000
'donnell).	1	1.000
'donnell,	14	0.071
'dou	1	1.000
'driscol	1	1.000
'ed	2	0.500
'effroy	2	0.500
'el	3	0.333
'em	59	0.017
'em-and-leave-'em	1	1.000
'em-hel	1	1.000
'em-ism	1	1.000
'em-starv	1	1.000
'em-up	3	0.333
'em-up,	1	1.000
'em-ups,	2	0.500
'enfant	2	0.500
'epargn	1	1.000
'equip	1	1.000
'er	4	0.250
'er-brim	1	1.000
'er-do-wel	7	0.143
'espelette.	1	1.000
'esprit	1	1.000
'est	8	0.125
'est-c	1	1.000
'estang,	1	1.000
'este.	1	1.000
'etat.	1	1.000
'etat."	1	1.000
'europe,	1	1.000
'ev	4	0.250
'fallon,	1	1.000
'finian.	1	1.000
